,tweet_id,created_at,full_text,user_id,tweet_type,retweeted_id
0,1532424290682949632,Thu Jun 02 18:09:56 +0000 2022,The abortion conversation wouldn’t be happening right now if the left wasn’t adamant on abortion with no limitations. 9 months sure why not? After birth sure why not. The lack of  humanity is why this is happening. There needs to be a cut off point. And that’s BEFORE BIRTH.,1384861326053462016,Retweet,1521828310245859329
0,1532424290141970433,Thu Jun 02 18:09:56 +0000 2022,"This is how you know they know they are losing the argument with the American people. It’s not about you, Louie. https://t.co/Op3EIS8w7J",1429285160332271616,Retweet,1532403545261199363
0,1532424290116808704,Thu Jun 02 18:09:56 +0000 2022,"More than two-thirds of Americans want to uphold Roe v. Wade, and most favor women having access to legal abortion for any reason, according to a new WSJ poll https://t.co/MJmnbWEHi5",47404357,Retweet,1532423106987495424
0,1532424290007715840,Thu Jun 02 18:09:56 +0000 2022,"Why are the media so terrified of people knowing that men can victims of abuse, and that women can be lying abusers? 🤔

#JusticeForJohnnyDepp #AmberHeardIsALiar",1439095720477331463,Original Tweet,
0,1532424289533603845,Thu Jun 02 18:09:56 +0000 2022,"Germany has German Shepherd
England has Bulldog
Mexico has Chihuahua
America has American Bully
Which one does your country have?? https://t.co/UpixZcBUbG",1214571908395651073,Retweet,1532421699077033985
0,1532424289428856832,Thu Jun 02 18:09:56 +0000 2022,"PRESIDENCY RESPONDS TO CLAIMS BY MR ARTHUR FRASER 

The Presidency has been made aware through a media statement that Mr Arthur Fraser has laid a complaint with the South African Police Service against President @CyrilRamaphosa.",1122464559774740481,Retweet,1532320994756636694
0,1532424289236013057,Thu Jun 02 18:09:56 +0000 2022,"13. Farming has tragically broken down bcoz it has been used as an accessory to loot public funds resulting in Land lying idle whilst the nation is forced to import basic things like maize!

This article shows us that so-called sanctions are not the issue.
https://t.co/1RPlEQZzUK",183184660,Retweet,1531696472131092481
0,1532424289172979712,Thu Jun 02 18:09:56 +0000 2022,"Euthanasia listed for a Friday  6/3
Ask me how to adopt out of state Barc Tx

Basil came in as a stray found at a business. They called Shelter she was running up to cars and were worried for her safety. 

A1818582 

BASIL 
(Spayed female) 
2 YRS 
AMERICAN STAFF MIX https://t.co/eFXLdxk6bu",1132539213411495941,Retweet,1532423359136419859
0,1532424289063821312,Thu Jun 02 18:09:56 +0000 2022,"Allah, please keep my mom alive till i'm successful one day. I owe her alot (:",1039404841452228608,Retweet,1532218725180375041
0,1532424288694702080,Thu Jun 02 18:09:56 +0000 2022,"Wow so I literally got woken up by an earthquake, angry tweeted about it, then just went back to bed. Feels like I dreamed it",14195818,Original Tweet,
0,1532424288640172033,Thu Jun 02 18:09:56 +0000 2022,"Explore the experiences of European, Indigenous, and African-descended women during the 16th through early 18th centuries. This course has been designed with the generous support of @NYHistory. https://t.co/Xp18LNsrId",175052298,Original Tweet,
0,1532424288598368256,Thu Jun 02 18:09:56 +0000 2022,"1st stage of genocide: CLASSIFICATION. Tigrayans are classified based on ethnicity on their ID cards leading to ethnic profiling the @UNOSAPG states is “a dangerous trajectory that heightens the risk of genocide."" @UN #CallItAGenocide #TigrayGenocide https://t.co/jWrYvsCH5P",1511361835177553921,Retweet,1532392624899883009
0,1532424288271159296,Thu Jun 02 18:09:56 +0000 2022,@Neoavatara @AsheSchow I doubt they'd see reason since a lot their reasoning comes from illogical power dynamic arguments. IE a woman cannot abuse a man do to power structures.,1387466187596959797,Reply Tweet,
0,1532424287868440577,Thu Jun 02 18:09:55 +0000 2022,@WUTangKids Just VOTE THE reps. OUT THEY ARE ALL BOUGHT AND PAID FOR BY ANTI AMERICAN INTERESTS,1074118087870275584,Reply Tweet,
0,1532424287491063808,Thu Jun 02 18:09:55 +0000 2022,Adult life is constantly saying to your friends let’s do something soon and suddenly 6 months have gone by,704481373,Retweet,1532086748255338497
0,1532424287478435840,Thu Jun 02 18:09:55 +0000 2022,"@RepMTG And it has nothing to do with the People of Africa. Some Gambians have texted me that they are very hungry, they are in need of food to feed their children and that they are dying every day. The wars over racism in America are bullshit. Wake up!",1222592175814279169,Reply Tweet,
